account_id,customer_id,account_no,account_type,balance,open_date,branch_name,status
ACC000030,CUST00164,1780068114,fixed deposit,281385.12,2023-12-05,JUHU,Active
ACC000031,CUST00210,2164334722,Fixed Deposit,166320.33,2023-02-24,Juhu Br.,Active
ACC000032,CUST00025,2005577848,saving,1597.38,2022-06-15,GHATKOPAR,Closed
ACC000033,CUST00028,MDO2829,SAVINGS,246464.86,2025-01-14,Kurla Branch,ACTIVE
ACC000034,CUST00157,9688457831,savings,465143.02,2022-06-05,DADAR,Active
ACC000035,CUST00194,4564240082,Recurring Deposit,418814.39,2021-08-05,Malad Br.,Closed
ACC000036,CUST00151,4780774064,SAVINGS,-481945.45,2023-09-30,Powai Br.,inactive
ACC000037,CUST00124,3085368663,RD,460620.58,2020-01-22,Borivali Branch,Inactive
ACC000038,CUST00169,6634163894,current,252303.0,2021-02-02,DADAR,Inactive
ACC000039,CUST00088,8463122417,Fixed Deposit,402496.02,2023-12-04,POWAI,Closed
ACC000040,CUST00141,7497350208,recurring deposit,368540.91,2018-11-09,Dadar,Closed
ACC000041,CUST00075,2144270312,Recurring Deposit,66769.53,2018-10-17,BORIVALI,Closed
ACC000042,CUST00030,7356475705,fixed deposit,240444.78,2019-05-09,KURLA,Inactive
ACC000043,CUST00207,eIE2046,savings,13123.43,2020-03-19,DADAR,active
ACC000044,CUST00074,3460136730,SAVINGS,419771.22,2020-05-12,Powai Branch,ACTIVE
ACC000045,CUST00209,7183764520,FD,434083.67,2025-01-01,Powai Br.,active
ACC000046,CUST00131,8814743503,RD,,2019-08-18,Kurla Br.,Inactive
ACC000047,CUST00202,3650249163,current,482933.69,2018-09-29,Dadar,Inactive
ACC000048,CUST00213,0979251327,Recurring Deposit,352462.22,2019-06-12,powai branch,Closed
ACC000049,CUST00050,9500528127,SAVINGS,491734.94,2020-08-24,Powai Branch,Inactive
ACC000050,CUST00011,5857306524,fixed deposit,132487.68,2026-04-25,ANDHERI,Inactive
ACC000051,CUST00182,0778487392,Savings,77274.84,2023-04-17,THANE,Inactive
ACC000052,CUST00203,5574982182,current,36903.96,2022-06-29,Borivali Branch,inactive
ACC000053,CUST00041,4485708620,fixed deposit,202006.82,2023-12-10,JUHU,ACTIVE
ACC000054,CUST00076,5935186387,RD,309331.16,2025-03-08,Andheri Branch,Closed
ACC000055,CUST00089,8294565118,Recurring Deposit,307043.7,2024-04-10,Juhu Br.,Active
ACC000056,CUST00099,1022031731,recurring deposit,141773.08,2018-12-09,Juhu Br.,Inactive
ACC000057,CUST00012,9678994053,Recurring Deposit,96659.94,2023-10-28,Borivali Branch,Closed
ACC000058,CUST00017,1037170586,Recurring Deposit,386904.34,2025-08-29,bandra branch,inactive
ACC000059,CUST00213,5094801413,recurring deposit,387715.77,2023-02-01,Borivali Branch,Inactive
ACC000060,CUST00184,1138633839,savings,37087.39,2023-12-27,Bandra,active
ACC000061,CUST00067,2886195761,Fixed Deposit,,2020-02-02,Bandra,Active
ACC000062,CUST00165,2868528975,savings,378102.32,2026-05-06,BANDRA BR,inactive
ACC000063,CUST00028,5855665939,Recurring Deposit,151024.68,2023-04-24,Malad Br.,Inactive
ACC000064,CUST00211,3684577600,Fixed Deposit,78583.58,2021-02-01,POWAI,Closed
ACC000065,CUST00037,9082404335,RD,433635.92,2018-11-08,Andheri,inactive
ACC000066,CUST00037,4888992107,Savings,286572.94,2021-09-10,BANDRA BR,active
ACC000067,CUST00192,2245933441,recurring deposit,172253.9,2023-07-10,powai branch,active
ACC000068,CUST00048,6931572791,Current,97565.94,2023-09-25,Andheri,Inactive
ACC000069,CUST00166,4096105566,Current,336006.78,2026-08-01,Thane Br.,ACTIVE
ACC000070,CUST00092,1390604805,Recurring Deposit,117649.16,2023-04-06,DADAR,Inactive
ACC000071,CUST00116,9258320679,Recurring Deposit,153184.91,2023-07-25,JUHU,Inactive
ACC000072,CUST00044,sYz8136,saving,392937.23,2019-12-05,GHATKOPAR,active
ACC000073,CUST00174,2517908641,Fixed Deposit,231692.76,2022-01-22,Powai Branch,active
ACC000074,CUST00166,8622783769,Current,429427.47,2020-05-03,Ghatkopar Branch,Closed
ACC000075,CUST00020,8983314659,fixed deposit,315997.43,2019-06-07,thane branch,Active
ACC000076,CUST00142,1665535590,fixed deposit,236315.92,2025-03-20,Dadar,Closed
ACC000077,CUST00220,4259792703,Fixed Deposit,250811.02,2020-05-14,andheri branch,inactive
ACC000078,CUST00176,5211039240,fixed deposit,70615.16,2021-08-03,thane branch,Closed
ACC000079,CUST00188,1477053833,current,20689.7,2023-04-26,GHATKOPAR,active
ACC000080,CUST00011,8487920698,fixed deposit,453909.18,2019-01-15,Malad Branch,Active
ACC000081,CUST00167,4204394070,recurring deposit,484236.48,2019-03-27,ghatkopar branch,Inactive
ACC000082,CUST00168,6451046368,FD,326841.61,2024-09-14,kurla branch,inactive
ACC000083,CUST00104,1579812387,current,243687.35,2023-06-09,powai branch,Inactive
ACC000084,CUST00043,0038457620,fixed deposit,321916.76,2021-08-14,Juhu Branch,Closed
ACC000085,CUST00059,5543840460,current,360267.7,2023-05-23,Dadar,active
ACC000086,CUST00166,4325621689,Savings,122213.32,2026-02-03,Borivali Branch,inactive
ACC000087,CUST00038,3639264957,Current,461262.21,2023-04-13,Thane Branch,Closed
ACC000088,CUST00187,2329832482,Current,473653.31,2022-04-30,Malad Br.,active
ACC000089,CUST00057,2925188125,FD,71784.71,2025-10-23,THANE,active
ACC000090,CUST00186,2056647423,Fixed Deposit,298468.41,2019-07-30,Borivali Branch,Active
ACC000091,CUST00052,2209949993,fixed deposit,342341.73,2023-09-28,Borivali Br,inactive
ACC000092,CUST00154,fSX3305,RD,265949.26,2022-09-21,Borivali Branch,Closed
ACC000093,CUST00167,2897526772,CURRENT,185503.54,2020-01-23,Dadar Br.,Inactive
ACC000094,CUST00090,3306046333,recurring deposit,453975.51,2019-03-26,kurla branch,ACTIVE
ACC000095,CUST00123,2797573660,savings,141991.7,2023-11-03,Dadar Branch,Closed
ACC000096,CUST00191,6569998808,FD,261509.04,2019-08-07,DADAR,Inactive
ACC000097,CUST00093,7703886086,CURRENT,325962.18,2023-01-22,KURLA,inactive
ACC000098,CUST00071,0347644726,CURRENT,377608.46,2021-03-04,malad branch,ACTIVE
ACC000099,CUST00144,9082771812,Current,494259.88,2025-04-17,kurla branch,Closed
ACC000100,CUST00031,9826657027,Fixed Deposit,391663.08,2023-09-10,Powai Br.,ACTIVE
ACC000101,CUST00206,3714521117,recurring deposit,342439.94,2024-01-23,Andheri Branch,active
ACC000102,CUST00121,5186892686,CURRENT,44526.27,2019-01-16,Thane Branch,Closed
ACC000103,CUST00099,2592222064,CURRENT,307175.81,2021-04-20,Thane Branch,active
ACC000104,CUST00164,7421230940,Savings,101252.77,2022-07-27,ghatkopar branch,Active
ACC000105,CUST00201,7780973397,fixed deposit,349375.64,2022-07-12,juhu branch,Closed
ACC000106,CUST00001,6719903849,savings,498410.16,2024-01-07,Kurla Br.,inactive
ACC000107,CUST00052,8302205020,recurring deposit,351959.15,2024-05-05,POWAI,ACTIVE
ACC000108,CUST00209,9945101622,FD,481547.04,2024-05-21,ANDHERI,active
ACC000109,CUST00105,4999827950,fixed deposit,36656.79,2019-06-18,POWAI,inactive
ACC000110,CUST00209,4556168147,Current,347248.83,2019-10-25,DADAR,Inactive
ACC000111,CUST00175,1458683390,FD,431080.63,2019-08-07,kurla branch,Closed
ACC000112,CUST00180,9817946954,current,206506.77,2023-02-20,ghatkopar branch,ACTIVE
ACC000113,CUST00024,9952997877,recurring deposit,410626.81,2025-07-17,MALAD,ACTIVE
ACC000114,CUST00056,2934301071,Current,91800.83,2024-12-10,Dadar Br.,Closed
ACC000115,CUST00052,3966055830,saving,436434.88,2024-02-13,Dadar,ACTIVE
ACC000116,CUST00040,3441448850,savings,460133.97,2019-08-21,Thane Branch,inactive
ACC000117,CUST00011,5569902355,current,310523.4,2026-07-07,THANE,Inactive
ACC000118,CUST00047,7702727857,fixed deposit,140493.18,2025-05-03,Andheri,Inactive
ACC000119,CUST00123,6084958803,Savings,251486.37,2023-07-31,Borivali Br,Active
ACC000120,CUST00179,5512405682,current,-344760.67,2023-07-11,Thane Branch,ACTIVE
ACC000121,CUST00093,9629145046,Current,93982.64,2019-05-29,THANE,ACTIVE
ACC000122,CUST00048,7357438421,saving,209836.93,2021-11-07,KURLA,Inactive
ACC000123,CUST00047,0317807823,FD,343162.95,2021-07-24,Dadar,Inactive
ACC000124,CUST00220,7845218230,SAVINGS,400118.71,2022-07-30,andheri branch,Inactive
ACC000125,CUST00128,6810409157,Recurring Deposit,258744.98,2026-03-26,GHATKOPAR,inactive
ACC000126,CUST00220,0184094353,CURRENT,49937.91,2020-04-22,Ghatkopar Br,Closed
ACC000127,CUST00025,4485714224,current,130254.68,2019-08-23,GHATKOPAR,Active
ACC000128,CUST00106,0988138585,Recurring Deposit,481576.72,2020-12-22,powai branch,ACTIVE
ACC000129,CUST00091,2493214958,fixed deposit,244003.13,2022-06-11,KURLA,Inactive
ACC000130,CUST00162,0207016016,SAVINGS,320470.04,2022-01-01,Thane Br.,Active
ACC000131,CUST00021,2997954538,saving,157084.29,2019-05-04,Thane Br.,ACTIVE
ACC000132,CUST00114,7921717477,current,374073.8,2020-08-21,borivali branch,Active
ACC000133,CUST00033,3294562557,Recurring Deposit,126197.68,2022-10-25,dadar branch,Inactive
ACC000134,CUST00027,0171577245,Fixed Deposit,-274442.66,2023-10-23,Bandra Branch,ACTIVE
ACC000135,CUST00159,9281615814,Recurring Deposit,465829.0,2023-03-15,Ghatkopar Br,Closed
ACC000136,CUST00033,7696393827,SAVINGS,14771.36,2021-12-07,Juhu Br.,Inactive
ACC000137,CUST00139,1539669583,fixed deposit,222700.04,2020-02-21,Borivali Br,Closed
ACC000138,CUST00192,1971997581,FD,217771.2,2025-08-29,Juhu Br.,inactive
ACC000139,CUST00059,7246191965,Fixed Deposit,154280.16,2022-11-15,Andheri Branch,inactive
ACC000140,CUST00209,0132902278,SAVINGS,,2021-02-23,Malad Br.,ACTIVE
ACC000141,CUST00003,6997335494,RD,,2026-06-25,juhu branch,Inactive
ACC000142,CUST00144,6519098624,saving,82053.11,2019-03-14,kurla branch,ACTIVE
ACC000143,CUST00021,5800851403,saving,258546.73,2022-05-05,GHATKOPAR,Closed
ACC000144,CUST00191,9656666832,Current,206745.49,2022-09-16,Ghatkopar Branch,Closed
ACC000145,CUST00117,2386562422,Current,350386.06,2018-10-08,Borivali Branch,inactive
ACC000146,CUST00006,1027621267,savings,141416.21,2026-04-09,andheri branch,Active
ACC000147,CUST00039,DGB9692,saving,171285.47,2023-05-14,Juhu Br.,Closed
ACC000148,CUST00203,lBM7653,savings,421851.38,2018-09-25,Kurla Branch,inactive
ACC000149,CUST00121,9738468950,Current,408716.74,2018-12-28,Dadar Br.,Inactive
ACC000150,CUST00064,9751971284,Savings,99990.35,2022-08-16,Dadar Br.,Inactive
ACC000151,CUST00175,8189137189,current,79726.41,2021-04-29,Powai Branch,ACTIVE
ACC000152,CUST00124,9058077879,saving,180533.11,2024-11-28,bandra branch,Closed
ACC000153,CUST00112,5654420949,SAVINGS,397298.0,2020-11-19,Dadar Branch,Active
ACC000154,CUST00149,0792904904,Fixed Deposit,344359.07,2022-10-17,dadar branch,Inactive
ACC000155,CUST00024,1281442944,current,465458.97,2025-12-19,ANDHERI,Closed
ACC000156,CUST00040,4019292752,RD,54142.13,2020-11-21,POWAI,Inactive
ACC000157,CUST00188,3728051292,recurring deposit,189195.58,2025-10-17,Andheri Br.,Closed
ACC000158,CUST00113,7663723950,fixed deposit,348670.37,2024-02-18,JUHU,Closed
ACC000159,CUST00120,4102767478,FD,457279.76,2020-08-27,Borivali Br,ACTIVE
ACC000160,CUST00210,6674286047,current,227312.45,2021-12-01,Borivali Branch,inactive
ACC000161,CUST00220,5801856945,FD,119773.89,2020-12-19,Powai Br.,active
ACC000162,CUST00135,4149673938,RD,275958.17,2021-07-16,Juhu Branch,Active
ACC000163,CUST00134,2580010618,Savings,417679.08,2019-07-21,Dadar Branch,Inactive
ACC000164,CUST00050,7534430091,FD,321054.96,2019-02-25,THANE,Active
ACC000165,CUST00094,9391119269,recurring deposit,35901.54,2025-07-02,Malad Branch,Inactive
ACC000166,CUST00206,2124471746,current,279230.93,2024-07-22,Juhu Branch,inactive
ACC000167,CUST00069,5421406650,recurring deposit,35658.87,2020-11-12,Powai Branch,Active
ACC000168,CUST00186,4271739627,CURRENT,95135.48,2019-08-04,Borivali Br,Closed
ACC000169,CUST00028,2863917410,FD,179302.7,2019-04-16,bandra branch,active
ACC000170,CUST00141,1947072006,current,328937.17,2020-12-07,JUHU,inactive
ACC000171,CUST00084,2569087766,CURRENT,382210.09,2025-11-06,thane branch,inactive
ACC000172,CUST00140,1830671985,RD,275344.23,2021-07-03,Malad Br.,Inactive
ACC000173,CUST00001,4601585174,Current,298083.53,2024-03-06,Ghatkopar Branch,ACTIVE
ACC000174,CUST00057,3280634615,current,11339.84,2022-10-22,ghatkopar branch,Active
ACC000175,CUST00010,1732030937,SAVINGS,69634.89,2021-12-22,DADAR,ACTIVE
ACC000176,CUST00024,1847870050,FD,458981.96,2021-07-17,malad branch,Inactive
ACC000177,CUST00212,0613878293,recurring deposit,288328.11,2026-07-15,Ghatkopar Branch,Closed
ACC000178,CUST00207,1027079032,savings,390170.89,2018-10-16,Kurla Br.,Active
ACC000179,CUST00198,2041792911,Recurring Deposit,424814.34,2019-08-22,Kurla Branch,ACTIVE
ACC000180,CUST00135,eZm7993,fixed deposit,282673.99,2022-04-18,Borivali Branch,Closed
ACC000181,CUST00188,5651982530,Fixed Deposit,376543.68,2023-09-18,KURLA,Inactive
ACC000182,CUST00038,2511426258,savings,238189.4,2020-01-27,Ghatkopar Branch,Inactive
ACC000183,CUST00129,7390219620,recurring deposit,65622.4,2026-02-24,Malad Br.,Closed
ACC000184,CUST00147,7100219467,FD,498540.84,2024-07-23,Ghatkopar Br,ACTIVE
ACC000185,CUST00176,2324876329,savings,56708.67,2024-07-20,DADAR,ACTIVE
ACC000186,CUST00153,0927914560,RD,152757.01,2023-05-31,malad branch,Inactive
ACC000187,CUST00012,3318195883,saving,100242.76,2022-08-14,Bandra Branch,Closed
ACC000188,CUST00014,3403127722,FD,463401.48,2024-05-15,ANDHERI,Closed
ACC000189,CUST00206,0054364597,Fixed Deposit,235859.56,2019-01-14,dadar branch,inactive
ACC000190,CUST00134,1082207811,fixed deposit,241771.65,2026-04-13,Andheri Br.,inactive
ACC000191,CUST00170,3799563531,Current,85574.66,2021-06-11,THANE,Active
ACC000192,CUST00120,3136363179,Savings,33765.6,2022-10-16,Juhu Branch,Active
ACC000193,CUST00075,0623972652,Recurring Deposit,193568.35,2022-07-25,BANDRA BR,Inactive
ACC000194,CUST00153,3543520904,SAVINGS,99838.16,2019-10-31,Andheri Branch,active
ACC000195,CUST00136,1776253492,Fixed Deposit,197003.21,2025-05-21,JUHU,Closed
ACC000196,CUST00078,9298316873,fixed deposit,138301.2,2023-09-13,Kurla Branch,inactive
ACC000197,CUST00072,7740633569,current,448639.07,2020-07-23,kurla branch,Inactive
ACC000198,CUST00062,9290600780,CURRENT,485283.32,2022-04-16,powai branch,active
ACC000199,CUST00168,8671773180,fixed deposit,342182.29,2024-07-25,powai branch,Inactive
ACC000200,CUST00198,6325431074,FD,458597.5,2020-01-17,bandra branch,ACTIVE
ACC000201,CUST00215,7990772625,recurring deposit,15226.93,2024-01-01,KURLA,Inactive
ACC000202,CUST00191,7016580464,Recurring Deposit,466658.39,2024-08-09,bandra branch,active
ACC000203,CUST00007,9893195085,FD,308664.78,2026-03-22,thane branch,active
ACC000204,CUST00176,DNc0165,savings,344226.57,2021-10-11,Thane Br.,Closed
ACC000205,CUST00167,5281832538,CURRENT,245977.08,2019-08-20,Andheri Br.,Active
ACC000206,CUST00070,7933554864,saving,371312.15,2019-02-18,bandra branch,Inactive
ACC000207,CUST00158,1557788178,current,433454.07,2024-06-09,Andheri,Closed
ACC000208,CUST00212,8479513711,current,197378.28,2021-12-28,Powai Branch,inactive
ACC000209,CUST00028,2411241272,Savings,438951.08,2026-02-10,Andheri,Inactive
ACC000210,CUST00133,3804682756,Savings,95330.24,2022-06-12,Ghatkopar Br,active
ACC000211,CUST00109,0431038569,Savings,345131.5,2021-08-02,Malad Branch,Closed
ACC000212,CUST00129,5798877492,RD,292931.14,2026-04-23,Kurla Br.,ACTIVE
ACC000213,CUST00116,Exs4243,Fixed Deposit,295362.58,2025-03-20,Malad Branch,ACTIVE
ACC000214,CUST00083,0254729284,recurring deposit,398344.87,2020-03-21,Bandra Br.,Closed
ACC000215,CUST00093,2223105927,recurring deposit,192351.64,2020-11-19,Borivali Br,inactive
ACC000216,CUST00098,TcQ5238,SAVINGS,456170.26,2021-05-13,borivali branch,active
ACC000217,CUST00046,5257828410,Savings,210081.05,2022-02-09,MALAD,Closed
ACC000218,CUST00047,7275208854,SAVINGS,-480236.72,2022-09-13,Andheri Br.,Inactive
ACC000219,CUST00219,4929751702,RD,3372.4,2024-06-08,Thane Br.,Inactive
ACC000220,CUST00105,8140693751,FD,300251.0,2021-06-11,thane branch,Active
ACC000221,CUST00048,0939834301,Recurring Deposit,,2023-04-01,THANE,ACTIVE
ACC000222,CUST00023,mFu7186,CURRENT,496870.72,2023-10-19,thane branch,Inactive
ACC000223,CUST00192,9805626565,Savings,47016.58,2018-10-09,Kurla Branch,Inactive
ACC000224,CUST00216,4554781376,Current,235673.01,2025-07-03,Juhu Br.,inactive
ACC000225,CUST00054,7426629912,FD,29563.2,2020-06-08,Powai Branch,Inactive
ACC000226,CUST00186,4785196106,RD,493146.08,2024-02-07,JUHU,inactive
ACC000227,CUST00148,4628792326,current,463589.13,2021-02-17,Malad Br.,active
ACC000228,CUST00157,8704947873,Current,,2018-11-24,bandra branch,inactive
ACC000229,CUST00107,0244714627,current,175150.2,2026-05-20,DADAR,ACTIVE
ACC000230,CUST00203,3014719597,Current,,2023-06-25,JUHU,Inactive
ACC000231,CUST00186,6471589042,Savings,416105.36,2023-08-14,Malad Br.,Active
ACC000232,CUST00166,0257252045,SAVINGS,313786.64,2022-03-28,Juhu Br.,Inactive
ACC000233,CUST00191,5044818321,fixed deposit,150022.2,2023-10-06,Powai Branch,active
ACC000234,CUST00148,2855445189,RD,458135.13,2021-08-29,BORIVALI,Active
ACC000235,CUST00087,2028457652,Recurring Deposit,267369.45,2019-07-17,Borivali Branch,ACTIVE
ACC000236,CUST00181,3283389888,recurring deposit,16298.29,2024-08-22,DADAR,Inactive
ACC000237,CUST00213,1671120754,saving,262787.66,2024-07-19,andheri branch,Active
ACC000238,CUST00114,5279852401,RD,241590.26,2020-07-23,MALAD,ACTIVE
ACC000239,CUST00037,2234232161,savings,411158.19,2019-05-01,borivali branch,Closed
ACC000240,CUST00010,0760310890,recurring deposit,432472.7,2022-08-29,Andheri,Active
ACC000241,CUST00086,1401401193,Savings,51999.86,2023-09-01,Andheri,ACTIVE
ACC000242,CUST00164,3250124955,current,100677.48,2020-01-13,Malad Branch,ACTIVE
ACC000243,CUST00039,8938911908,savings,8120.73,2020-07-07,Dadar,ACTIVE
ACC000244,CUST00141,3428013875,SAVINGS,471667.27,2024-08-10,Borivali Branch,ACTIVE
ACC000245,CUST00157,9271256638,fixed deposit,222102.0,2020-08-08,Andheri Branch,Inactive
ACC000246,CUST00014,6151718275,CURRENT,89902.01,2024-08-30,MALAD,ACTIVE
ACC000247,CUST00086,4801571647,recurring deposit,379322.07,2023-10-11,malad branch,Active
ACC000248,CUST00209,4738646317,recurring deposit,234403.81,2026-08-28,Malad Br.,active
ACC000249,CUST00058,5207167811,FD,129397.36,2019-11-21,JUHU,Inactive
ACC000250,CUST00125,Vke6691,Fixed Deposit,56887.09,2021-10-06,GHATKOPAR,inactive
ACC000251,CUST00148,3539613674,savings,203140.15,2025-03-05,Powai Branch,ACTIVE
ACC000252,CUST00137,9946579678,FD,207014.23,2021-01-15,Malad Br.,Active
ACC000253,CUST00088,2711477320,recurring deposit,295689.61,2019-07-08,juhu branch,active
ACC000254,CUST00170,0170269524,recurring deposit,465466.2,2023-12-17,Thane Br.,ACTIVE
ACC000255,CUST00143,9118773477,Fixed Deposit,88498.91,2022-12-18,Bandra,Inactive
ACC000256,CUST00084,4858800616,Recurring Deposit,31210.37,2022-07-01,Thane Branch,active
ACC000257,CUST00170,5677002842,fixed deposit,146105.88,2022-11-06,DADAR,ACTIVE
ACC000258,CUST00146,6246719788,Recurring Deposit,152622.79,2023-07-15,Juhu Branch,inactive
ACC000259,CUST00003,7782806479,fixed deposit,202396.61,2021-11-18,Juhu Branch,Active
ACC000260,CUST00181,9545009025,current,,2021-08-20,Kurla Br.,Closed
ACC000261,CUST00082,9056165565,CURRENT,191091.74,2019-02-24,malad branch,active
ACC000262,CUST00143,3334911415,current,420061.36,2020-02-11,borivali branch,Active
ACC000263,CUST00019,0850769864,SAVINGS,360808.95,2018-11-04,Borivali Branch,active
ACC000264,CUST00165,7905696591,Fixed Deposit,446844.44,2025-07-18,thane branch,Inactive
ACC000265,CUST00131,7135785294,Fixed Deposit,192665.0,2021-10-04,Andheri,Inactive
ACC000266,CUST00217,6371834404,recurring deposit,251113.54,2023-07-19,Juhu Branch,Active
ACC000267,CUST00146,6391919541,current,57025.6,2023-06-27,BORIVALI,Inactive
ACC000268,CUST00133,8763514846,FD,44678.95,2024-04-24,Bandra,inactive
ACC000269,CUST00080,8536649878,current,-267749.11,2020-03-16,MALAD,Inactive
ACC000270,CUST00091,0829737489,RD,147661.66,2025-12-03,THANE,Closed
ACC000271,CUST00201,6908357232,Savings,314835.38,2025-01-07,Ghatkopar Branch,ACTIVE
ACC000272,CUST00125,4665136442,fixed deposit,38892.7,2020-11-06,THANE,ACTIVE
ACC000273,CUST00220,9363123034,recurring deposit,56218.93,2022-08-14,Borivali Br,ACTIVE
ACC000274,CUST00207,7866032420,RD,350537.05,2020-11-12,ANDHERI,Active
ACC000275,CUST00038,4820700159,SAVINGS,418888.3,2021-03-15,kurla branch,Closed
ACC000276,CUST00113,1651623198,SAVINGS,105822.95,2026-08-09,Ghatkopar Branch,Active
ACC000277,CUST00043,1898471391,Fixed Deposit,151032.88,2025-03-31,powai branch,Inactive
ACC000278,CUST00175,5596363212,Fixed Deposit,131681.26,2020-06-28,Ghatkopar Br,Inactive
ACC000279,CUST00174,4764907851,fixed deposit,341596.72,2021-05-12,Juhu Br.,inactive
ACC000280,CUST00167,8673425754,current,135527.9,2018-11-06,Thane Br.,Inactive
