account_id,customer_id,account_no,account_type,balance,open_date,branch_name,status,branch_name_clean
ACC000123,CUST00047,0317807823,Fixed Deposit,343162.95,2021-07-24,Dadar,Inactive,Dadar Branch
ACC000124,CUST00220,7845218230,Savings,400118.71,2022-07-30,andheri branch,Inactive,Andheri Branch
ACC000125,CUST00128,6810409157,Recurring Deposit,258744.98,2026-03-26,GHATKOPAR,Inactive,Ghatkopar Branch
ACC000126,CUST00220,0184094353,Current,49937.91,2020-04-22,Ghatkopar Br,Closed,Ghatkopar Branch
ACC000127,CUST00025,4485714224,Current,130254.68,2019-08-23,GHATKOPAR,Active,Ghatkopar Branch
ACC000128,CUST00106,0988138585,Recurring Deposit,481576.72,2020-12-22,powai branch,Active,Powai Branch
ACC000129,CUST00091,2493214958,Fixed Deposit,244003.13,2022-06-11,KURLA,Inactive,Kurla Branch
ACC000130,CUST00162,0207016016,Savings,320470.04,2022-01-01,Thane Br.,Active,Thane Branch
ACC000131,CUST00021,2997954538,Savings,157084.29,2019-05-04,Thane Br.,Active,Thane Branch
ACC000132,CUST00114,7921717477,Current,374073.8,2020-08-21,borivali branch,Active,Borivali Branch
ACC000133,CUST00033,3294562557,Recurring Deposit,126197.68,2022-10-25,dadar branch,Inactive,Dadar Branch
ACC000134,CUST00027,0171577245,Fixed Deposit,274442.66,2023-10-23,Bandra Branch,Active,Bandra Branch
ACC000135,CUST00159,9281615814,Recurring Deposit,465829.0,2023-03-15,Ghatkopar Br,Closed,Ghatkopar Branch
ACC000136,CUST00033,7696393827,Savings,14771.36,2021-12-07,Juhu Br.,Inactive,Juhu Branch
ACC000137,CUST00139,1539669583,Fixed Deposit,222700.04,2020-02-21,Borivali Br,Closed,Borivali Branch
ACC000138,CUST00192,1971997581,Fixed Deposit,217771.2,2025-08-29,Juhu Br.,Inactive,Juhu Branch
ACC000139,CUST00059,7246191965,Fixed Deposit,154280.16,2022-11-15,Andheri Branch,Inactive,Andheri Branch
ACC000140,CUST00209,0132902278,Savings,258546.73,2021-02-23,Malad Br.,Active,Malad Branch
ACC000141,CUST00003,6997335494,Recurring Deposit,258546.73,2026-06-25,juhu branch,Inactive,Juhu Branch
ACC000142,CUST00144,6519098624,Savings,82053.11,2019-03-14,kurla branch,Active,Kurla Branch
ACC000143,CUST00021,5800851403,Savings,258546.73,2022-05-05,GHATKOPAR,Closed,Ghatkopar Branch
ACC000144,CUST00191,9656666832,Current,206745.49,2022-09-16,Ghatkopar Branch,Closed,Ghatkopar Branch
ACC000145,CUST00117,2386562422,Current,350386.06,2018-10-08,Borivali Branch,Inactive,Borivali Branch
ACC000146,CUST00006,1027621267,Savings,141416.21,2026-04-09,andheri branch,Active,Andheri Branch
ACC000149,CUST00121,9738468950,Current,408716.74,2018-12-28,Dadar Br.,Inactive,Dadar Branch
ACC000150,CUST00064,9751971284,Savings,99990.35,2022-08-16,Dadar Br.,Inactive,Dadar Branch
ACC000151,CUST00175,8189137189,Current,79726.41,2021-04-29,Powai Branch,Active,Powai Branch
ACC000152,CUST00124,9058077879,Savings,180533.11,2024-11-28,bandra branch,Closed,Bandra Branch
ACC000153,CUST00112,5654420949,Savings,397298.0,2020-11-19,Dadar Branch,Active,Dadar Branch
ACC000154,CUST00149,0792904904,Fixed Deposit,344359.07,2022-10-17,dadar branch,Inactive,Dadar Branch
ACC000155,CUST00024,1281442944,Current,465458.97,2025-12-19,ANDHERI,Closed,Andheri Branch
ACC000156,CUST00040,4019292752,Recurring Deposit,54142.13,2020-11-21,POWAI,Inactive,Powai Branch
ACC000157,CUST00188,3728051292,Recurring Deposit,189195.58,2025-10-17,Andheri Br.,Closed,Andheri Branch
ACC000158,CUST00113,7663723950,Fixed Deposit,348670.37,2024-02-18,JUHU,Closed,Juhu Branch
ACC000159,CUST00120,4102767478,Fixed Deposit,457279.76,2020-08-27,Borivali Br,Active,Borivali Branch
ACC000160,CUST00210,6674286047,Current,227312.45,2021-12-01,Borivali Branch,Inactive,Borivali Branch
ACC000161,CUST00220,5801856945,Fixed Deposit,119773.89,2020-12-19,Powai Br.,Active,Powai Branch
ACC000162,CUST00135,4149673938,Recurring Deposit,275958.17,2021-07-16,Juhu Branch,Active,Juhu Branch
ACC000163,CUST00134,2580010618,Savings,417679.08,2019-07-21,Dadar Branch,Inactive,Dadar Branch
ACC000164,CUST00050,7534430091,Fixed Deposit,321054.96,2019-02-25,THANE,Active,Thane Branch
ACC000165,CUST00094,9391119269,Recurring Deposit,35901.54,2025-07-02,Malad Branch,Inactive,Malad Branch
ACC000166,CUST00206,2124471746,Current,279230.93,2024-07-22,Juhu Branch,Inactive,Juhu Branch
ACC000167,CUST00069,5421406650,Recurring Deposit,35658.87,2020-11-12,Powai Branch,Active,Powai Branch
ACC000168,CUST00186,4271739627,Current,95135.48,2019-08-04,Borivali Br,Closed,Borivali Branch
ACC000169,CUST00028,2863917410,Fixed Deposit,179302.7,2019-04-16,bandra branch,Active,Bandra Branch
ACC000170,CUST00141,1947072006,Current,328937.17,2020-12-07,JUHU,Inactive,Juhu Branch
ACC000171,CUST00084,2569087766,Current,382210.09,2025-11-06,thane branch,Inactive,Thane Branch
ACC000172,CUST00140,1830671985,Recurring Deposit,275344.23,2021-07-03,Malad Br.,Inactive,Malad Branch
ACC000173,CUST00001,4601585174,Current,298083.53,2024-03-06,Ghatkopar Branch,Active,Ghatkopar Branch
ACC000174,CUST00057,3280634615,Current,11339.84,2022-10-22,ghatkopar branch,Active,Ghatkopar Branch
ACC000175,CUST00010,1732030937,Savings,69634.89,2021-12-22,DADAR,Active,Dadar Branch
ACC000176,CUST00024,1847870050,Fixed Deposit,458981.96,2021-07-17,malad branch,Inactive,Malad Branch
ACC000177,CUST00212,0613878293,Recurring Deposit,288328.11,2026-07-15,Ghatkopar Branch,Closed,Ghatkopar Branch
ACC000178,CUST00207,1027079032,Savings,390170.89,2018-10-16,Kurla Br.,Active,Kurla Branch
ACC000179,CUST00198,2041792911,Recurring Deposit,424814.34,2019-08-22,Kurla Branch,Active,Kurla Branch
ACC000181,CUST00188,5651982530,Fixed Deposit,376543.68,2023-09-18,KURLA,Inactive,Kurla Branch
ACC000182,CUST00038,2511426258,Savings,238189.4,2020-01-27,Ghatkopar Branch,Inactive,Ghatkopar Branch
ACC000183,CUST00129,7390219620,Recurring Deposit,65622.4,2026-02-24,Malad Br.,Closed,Malad Branch
ACC000184,CUST00147,7100219467,Fixed Deposit,498540.84,2024-07-23,Ghatkopar Br,Active,Ghatkopar Branch
ACC000185,CUST00176,2324876329,Savings,56708.67,2024-07-20,DADAR,Active,Dadar Branch
ACC000186,CUST00153,0927914560,Recurring Deposit,152757.01,2023-05-31,malad branch,Inactive,Malad Branch
ACC000187,CUST00012,3318195883,Savings,100242.76,2022-08-14,Bandra Branch,Closed,Bandra Branch
ACC000188,CUST00014,3403127722,Fixed Deposit,463401.48,2024-05-15,ANDHERI,Closed,Andheri Branch
ACC000189,CUST00206,0054364597,Fixed Deposit,235859.56,2019-01-14,dadar branch,Inactive,Dadar Branch
ACC000190,CUST00134,1082207811,Fixed Deposit,241771.65,2026-04-13,Andheri Br.,Inactive,Andheri Branch
ACC000191,CUST00170,3799563531,Current,85574.66,2021-06-11,THANE,Active,Thane Branch
ACC000192,CUST00120,3136363179,Savings,33765.6,2022-10-16,Juhu Branch,Active,Juhu Branch
ACC000193,CUST00075,0623972652,Recurring Deposit,193568.35,2022-07-25,BANDRA BR,Inactive,Bandra Branch
ACC000194,CUST00153,3543520904,Savings,99838.16,2019-10-31,Andheri Branch,Active,Andheri Branch
ACC000195,CUST00136,1776253492,Fixed Deposit,197003.21,2025-05-21,JUHU,Closed,Juhu Branch
ACC000196,CUST00078,9298316873,Fixed Deposit,138301.2,2023-09-13,Kurla Branch,Inactive,Kurla Branch
ACC000197,CUST00072,7740633569,Current,448639.07,2020-07-23,kurla branch,Inactive,Kurla Branch
ACC000198,CUST00062,9290600780,Current,485283.32,2022-04-16,powai branch,Active,Powai Branch
ACC000199,CUST00168,8671773180,Fixed Deposit,342182.29,2024-07-25,powai branch,Inactive,Powai Branch
ACC000200,CUST00198,6325431074,Fixed Deposit,458597.5,2020-01-17,bandra branch,Active,Bandra Branch
ACC000201,CUST00215,7990772625,Recurring Deposit,15226.93,2024-01-01,KURLA,Inactive,Kurla Branch
ACC000202,CUST00191,7016580464,Recurring Deposit,466658.39,2024-08-09,bandra branch,Active,Bandra Branch
ACC000203,CUST00007,9893195085,Fixed Deposit,308664.78,2026-03-22,thane branch,Active,Thane Branch
ACC000205,CUST00167,5281832538,Current,245977.08,2019-08-20,Andheri Br.,Active,Andheri Branch
ACC000206,CUST00070,7933554864,Savings,371312.15,2019-02-18,bandra branch,Inactive,Bandra Branch
ACC000207,CUST00158,1557788178,Current,433454.07,2024-06-09,Andheri,Closed,Andheri Branch
ACC000208,CUST00212,8479513711,Current,197378.28,2021-12-28,Powai Branch,Inactive,Powai Branch
ACC000209,CUST00028,2411241272,Savings,438951.08,2026-02-10,Andheri,Inactive,Andheri Branch
ACC000210,CUST00133,3804682756,Savings,95330.24,2022-06-12,Ghatkopar Br,Active,Ghatkopar Branch
ACC000211,CUST00109,0431038569,Savings,345131.5,2021-08-02,Malad Branch,Closed,Malad Branch
ACC000212,CUST00129,5798877492,Recurring Deposit,292931.14,2026-04-23,Kurla Br.,Active,Kurla Branch
ACC000214,CUST00083,0254729284,Recurring Deposit,398344.87,2020-03-21,Bandra Br.,Closed,Bandra Branch
ACC000215,CUST00093,2223105927,Recurring Deposit,192351.64,2020-11-19,Borivali Br,Inactive,Borivali Branch
ACC000217,CUST00046,5257828410,Savings,210081.05,2022-02-09,MALAD,Closed,Malad Branch
ACC000218,CUST00047,7275208854,Savings,480236.72,2022-09-13,Andheri Br.,Inactive,Andheri Branch
ACC000219,CUST00219,4929751702,Recurring Deposit,3372.4,2024-06-08,Thane Br.,Inactive,Thane Branch
ACC000220,CUST00105,8140693751,Fixed Deposit,300251.0,2021-06-11,thane branch,Active,Thane Branch
ACC000221,CUST00048,0939834301,Recurring Deposit,258546.73,2023-04-01,THANE,Active,Thane Branch
ACC000223,CUST00192,9805626565,Savings,47016.58,2018-10-09,Kurla Branch,Inactive,Kurla Branch
ACC000224,CUST00216,4554781376,Current,235673.01,2025-07-03,Juhu Br.,Inactive,Juhu Branch
ACC000225,CUST00054,7426629912,Fixed Deposit,29563.2,2020-06-08,Powai Branch,Inactive,Powai Branch
ACC000226,CUST00186,4785196106,Recurring Deposit,493146.08,2024-02-07,JUHU,Inactive,Juhu Branch
ACC000227,CUST00148,4628792326,Current,463589.13,2021-02-17,Malad Br.,Active,Malad Branch
ACC000228,CUST00157,8704947873,Current,258546.73,2018-11-24,bandra branch,Inactive,Bandra Branch
ACC000229,CUST00107,0244714627,Current,175150.2,2026-05-20,DADAR,Active,Dadar Branch
ACC000230,CUST00203,3014719597,Current,258546.73,2023-06-25,JUHU,Inactive,Juhu Branch
ACC000231,CUST00186,6471589042,Savings,416105.36,2023-08-14,Malad Br.,Active,Malad Branch
ACC000232,CUST00166,0257252045,Savings,313786.64,2022-03-28,Juhu Br.,Inactive,Juhu Branch
ACC000233,CUST00191,5044818321,Fixed Deposit,150022.2,2023-10-06,Powai Branch,Active,Powai Branch
ACC000234,CUST00148,2855445189,Recurring Deposit,458135.13,2021-08-29,BORIVALI,Active,Borivali Branch
ACC000235,CUST00087,2028457652,Recurring Deposit,267369.45,2019-07-17,Borivali Branch,Active,Borivali Branch
ACC000236,CUST00181,3283389888,Recurring Deposit,16298.29,2024-08-22,DADAR,Inactive,Dadar Branch
ACC000237,CUST00213,1671120754,Savings,262787.66,2024-07-19,andheri branch,Active,Andheri Branch
ACC000238,CUST00114,5279852401,Recurring Deposit,241590.26,2020-07-23,MALAD,Active,Malad Branch
ACC000239,CUST00037,2234232161,Savings,411158.19,2019-05-01,borivali branch,Closed,Borivali Branch
ACC000240,CUST00010,0760310890,Recurring Deposit,432472.7,2022-08-29,Andheri,Active,Andheri Branch
ACC000241,CUST00086,1401401193,Savings,51999.86,2023-09-01,Andheri,Active,Andheri Branch
ACC000242,CUST00164,3250124955,Current,100677.48,2020-01-13,Malad Branch,Active,Malad Branch
ACC000243,CUST00039,8938911908,Savings,8120.73,2020-07-07,Dadar,Active,Dadar Branch
ACC000244,CUST00141,3428013875,Savings,471667.27,2024-08-10,Borivali Branch,Active,Borivali Branch
ACC000245,CUST00157,9271256638,Fixed Deposit,222102.0,2020-08-08,Andheri Branch,Inactive,Andheri Branch
ACC000246,CUST00014,6151718275,Current,89902.01,2024-08-30,MALAD,Active,Malad Branch
ACC000247,CUST00086,4801571647,Recurring Deposit,379322.07,2023-10-11,malad branch,Active,Malad Branch
ACC000248,CUST00209,4738646317,Recurring Deposit,234403.81,2026-08-28,Malad Br.,Active,Malad Branch
ACC000249,CUST00058,5207167811,Fixed Deposit,129397.36,2019-11-21,JUHU,Inactive,Juhu Branch
ACC000251,CUST00148,3539613674,Savings,203140.15,2025-03-05,Powai Branch,Active,Powai Branch
ACC000252,CUST00137,9946579678,Fixed Deposit,207014.23,2021-01-15,Malad Br.,Active,Malad Branch
ACC000253,CUST00088,2711477320,Recurring Deposit,295689.61,2019-07-08,juhu branch,Active,Juhu Branch
ACC000254,CUST00170,0170269524,Recurring Deposit,465466.2,2023-12-17,Thane Br.,Active,Thane Branch
ACC000255,CUST00143,9118773477,Fixed Deposit,88498.91,2022-12-18,Bandra,Inactive,Bandra Branch
ACC000256,CUST00084,4858800616,Recurring Deposit,31210.37,2022-07-01,Thane Branch,Active,Thane Branch
ACC000257,CUST00170,5677002842,Fixed Deposit,146105.88,2022-11-06,DADAR,Active,Dadar Branch
ACC000258,CUST00146,6246719788,Recurring Deposit,152622.79,2023-07-15,Juhu Branch,Inactive,Juhu Branch
ACC000259,CUST00003,7782806479,Fixed Deposit,202396.61,2021-11-18,Juhu Branch,Active,Juhu Branch
ACC000260,CUST00181,9545009025,Current,258546.73,2021-08-20,Kurla Br.,Closed,Kurla Branch
ACC000261,CUST00082,9056165565,Current,191091.74,2019-02-24,malad branch,Active,Malad Branch
ACC000262,CUST00143,3334911415,Current,420061.36,2020-02-11,borivali branch,Active,Borivali Branch
ACC000263,CUST00019,0850769864,Savings,360808.95,2018-11-04,Borivali Branch,Active,Borivali Branch
ACC000264,CUST00165,7905696591,Fixed Deposit,446844.44,2025-07-18,thane branch,Inactive,Thane Branch
ACC000265,CUST00131,7135785294,Fixed Deposit,192665.0,2021-10-04,Andheri,Inactive,Andheri Branch
ACC000266,CUST00217,6371834404,Recurring Deposit,251113.54,2023-07-19,Juhu Branch,Active,Juhu Branch
ACC000267,CUST00146,6391919541,Current,57025.6,2023-06-27,BORIVALI,Inactive,Borivali Branch
ACC000268,CUST00133,8763514846,Fixed Deposit,44678.95,2024-04-24,Bandra,Inactive,Bandra Branch
ACC000269,CUST00080,8536649878,Current,267749.11,2020-03-16,MALAD,Inactive,Malad Branch
ACC000270,CUST00091,0829737489,Recurring Deposit,147661.66,2025-12-03,THANE,Closed,Thane Branch
ACC000271,CUST00201,6908357232,Savings,314835.38,2025-01-07,Ghatkopar Branch,Active,Ghatkopar Branch
ACC000272,CUST00125,4665136442,Fixed Deposit,38892.7,2020-11-06,THANE,Active,Thane Branch
ACC000273,CUST00220,9363123034,Recurring Deposit,56218.93,2022-08-14,Borivali Br,Active,Borivali Branch
ACC000274,CUST00207,7866032420,Recurring Deposit,350537.05,2020-11-12,ANDHERI,Active,Andheri Branch
